"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"J","399.0","Jones, Patrick Kerry","3.0","11.0","7.0","1.0","4.0","1.0","2.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","32.0"
"J","399.0","Madison, Eddie Lawrence","0.0","24.0","6.0","2.0","5.0","1.0","3.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","43.0"
"J","399.0","Matthews, Kelli Irene","2.0","10.0","9.0","6.0","6.0","3.0","1.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","42.0"
"J","399.0","Park, Sung Jin","0.0","44.0","34.0","9.0","10.0","9.0","2.0","0.0","2.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","112.0"
"J","399.0","Ryan, William E","0.0","5.0","1.0","3.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","13.0"
"J","399.0","Shontz, Lori Marie","0.0","15.0","9.0","14.0","23.0","14.0","11.0","15.0","5.0","0.0","2.0","0.0","1.0","0.0","0.0","1.0","0.0","110.0"
"J","408.0","Anderson, Shannon Matthew","1.0","19.0","10.0","5.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","39.0"
"J","408.0","Brandow, Derek Forrest","6.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.0"
"J","408.0","Koranda, David Edward","6.0","16.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.0"
"J","408.0","Laufer, Peter David","0.0","10.0","2.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0"
"J","408.0","Madison, Eddie Lawrence","14.0","38.0","1.0","0.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0"
"J","408.0","McDonnell, Thomas Edward","4.0","20.0","6.0","12.0","6.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","49.0"
